1565427891.798630 Temp=28.5C and Humidity=75.3%
1565427894.492515 Temp=28.4C and Humidity=75.2%
1565427895.507438 Temp=28.5C and Humidity=75.3%
1565427898.197014 Temp=28.4C and Humidity=75.3%
1565427903.491439 Temp=28.5C and Humidity=75.6%
1565427904.301368 Temp=28.4C and Humidity=75.5%
1565427908.561797 Temp=28.5C and Humidity=75.3%
1565427909.578959 Temp=28.5C and Humidity=75.5%
1565427915.943779 Temp=28.5C and Humidity=75.3%
1565427917.292087 Temp=28.5C and Humidity=75.2%
1565427920.986206 Temp=28.5C and Humidity=75.2%
1565427929.762825 Temp=28.5C and Humidity=75.1%
1565427937.399030 Temp=28.5C and Humidity=75.6%
1565427947.712924 Temp=28.4C and Humidity=74.9%
1565427948.629788 Temp=28.4C and Humidity=74.9%
1565427951.266462 Temp=28.5C and Humidity=75.0%
1565427954.705655 Temp=28.5C and Humidity=75.0%
1565427959.009382 Temp=28.5C and Humidity=74.9%
1565427970.149317 Temp=28.4C and Humidity=74.8%
1565427975.256557 Temp=28.5C and Humidity=74.8%
1565427988.156083 Temp=28.5C and Humidity=74.8%
1565427996.577360 Temp=28.5C and Humidity=74.8%
1565428002.971817 Temp=28.4C and Humidity=74.7%
1565428008.214921 Temp=28.4C and Humidity=74.7%
1565428011.741697 Temp=28.5C and Humidity=74.7%
1565428019.511774 Temp=28.4C and Humidity=74.7%
1565428020.130876 Temp=28.5C and Humidity=74.7%
1565428028.172801 Temp=28.5C and Humidity=74.7%
1565428031.076592 Temp=28.4C and Humidity=74.7%
1565428034.364914 Temp=28.5C and Humidity=74.7%
1565428035.115534 Temp=28.5C and Humidity=74.7%
1565428042.018740 Temp=28.5C and Humidity=74.7%
1565428046.548458 Temp=28.4C and Humidity=74.6%
1565428047.969673 Temp=28.5C and Humidity=74.6%
1565428049.689902 Temp=28.5C and Humidity=74.6%
1565428051.696163 Temp=28.5C and Humidity=74.6%
1565428052.448216 Temp=28.5C and Humidity=74.6%
1565428057.971260 Temp=28.5C and Humidity=74.6%
1565428081.375757 Temp=28.5C and Humidity=73.8%
1565428084.001115 Temp=28.5C and Humidity=74.5%
1565428087.774924 Temp=28.5C and Humidity=74.5%
1565428090.969121 Temp=28.5C and Humidity=74.5%
1565428092.865939 Temp=28.5C and Humidity=74.1%
1565428102.080624 Temp=28.5C and Humidity=74.9%
1565428104.092779 Temp=28.5C and Humidity=74.4%
1565428104.669612 Temp=28.5C and Humidity=74.4%
1565428105.907202 Temp=28.5C and Humidity=74.4%
1565428109.266079 Temp=28.5C and Humidity=74.4%
1565428109.863845 Temp=28.5C and Humidity=74.4%
1565428110.418101 Temp=28.5C and Humidity=74.4%
1565428111.189332 Temp=28.5C and Humidity=74.4%
1565428114.406614 Temp=28.5C and Humidity=74.3%
1565428115.644512 Temp=28.5C and Humidity=74.3%
1565428116.251178 Temp=28.5C and Humidity=74.3%
1565428116.957979 Temp=28.5C and Humidity=74.3%
1565428123.188660 Temp=28.5C and Humidity=74.3%
1565428126.930044 Temp=28.5C and Humidity=74.2%
1565428132.046493 Temp=28.5C and Humidity=74.2%
1565428132.719838 Temp=28.5C and Humidity=74.2%
1565428133.316398 Temp=28.5C and Humidity=74.2%
1565428136.979160 Temp=28.5C and Humidity=74.2%
1565428139.906771 Temp=28.5C and Humidity=74.2%
1565428151.409022 Temp=28.5C and Humidity=74.1%
1565428156.919578 Temp=28.5C and Humidity=74.1%
1565428160.306345 Temp=28.6C and Humidity=74.2%
1565428162.266059 Temp=28.5C and Humidity=74.1%
1565428163.475882 Temp=28.5C and Humidity=74.8%
1565428165.486917 Temp=28.5C and Humidity=74.1%
1565428174.446558 Temp=28.5C and Humidity=74.1%
1565428178.295323 Temp=28.5C and Humidity=74.0%
1565428179.005916 Temp=28.5C and Humidity=74.0%
1565428181.579695 Temp=28.5C and Humidity=74.0%
1565428184.299047 Temp=28.5C and Humidity=74.0%
1565428185.023184 Temp=28.5C and Humidity=74.0%
1565428189.736615 Temp=28.5C and Humidity=74.0%
1565428195.526304 Temp=28.6C and Humidity=74.1%
1565428198.082427 Temp=28.6C and Humidity=74.0%
1565428207.287868 Temp=28.5C and Humidity=74.0%
1565428209.201716 Temp=28.5C and Humidity=74.0%
1565428211.104277 Temp=28.5C and Humidity=74.0%
1565428213.852018 Temp=28.5C and Humidity=73.9%
1565428214.466431 Temp=28.5C and Humidity=73.9%
1565428217.445762 Temp=28.5C and Humidity=73.9%
1565428219.321070 Temp=28.5C and Humidity=73.9%
1565428219.986192 Temp=28.5C and Humidity=73.9%
1565428220.621777 Temp=28.5C and Humidity=73.9%
1565428222.538872 Temp=28.5C and Humidity=73.9%
1565428224.494841 Temp=28.5C and Humidity=74.0%
1565428230.397655 Temp=28.6C and Humidity=74.0%
1565428235.840136 Temp=28.5C and Humidity=73.9%
1565428238.522709 Temp=28.6C and Humidity=74.0%
1565428241.109394 Temp=28.5C and Humidity=73.9%
1565428241.774776 Temp=28.6C and Humidity=74.0%
1565428253.766295 Temp=28.6C and Humidity=74.0%
1565428254.594565 Temp=28.5C and Humidity=73.9%
1565428256.585832 Temp=28.5C and Humidity=73.9%
1565428270.473381 Temp=28.6C and Humidity=74.8%
1565428275.538756 Temp=28.5C and Humidity=74.0%
1565428280.898237 Temp=28.5C and Humidity=73.9%
1565428282.599636 Temp=28.5C and Humidity=73.9%
1565428287.280762 Temp=28.5C and Humidity=73.9%
1565428294.126294 Temp=28.5C and Humidity=73.8%
1565428296.090852 Temp=28.5C and Humidity=73.8%
1565428302.936478 Temp=28.5C and Humidity=73.7%
1565428306.860201 Temp=28.5C and Humidity=73.8%
